inv_ck,inv_name,inv_desc,child_ind,inv_type,equip_location,rarity,icon_path,weight_lbs
1,Whispering Amulet,"This silver amulet hums faintly when danger approaches. While wearing it, you can cast the Message cantrip at will. Additionally, once per long rest, you can whisper a secret to the amulet, and it will relay it to a creature you name within 1 mile (who must succeed on a DC 13 Wisdom saving throw or hear the message clearly).",0,Wonderous Item,Neck,Uncommon,accessories/necklace.png,3
2,Frostbite Dagger,"This icy blade deals an extra 1d6 cold damage on a hit (total 1d4 + 1d6 piercing + 1d6 cold). If it reduces a creature to 0 hit points, the target is frozen solid for 1 minute or until it takes fire damage. Requires attunement by a creature with cold resistance or immunity.",0,Weapon,Dagger,Rare,weapons/plain_dagger.png,8
3,Cloak of the Night Fox,"This dark fur cloak grants advantage on Dexterity (Stealth) checks in dim light or darkness. Once per short rest, you can use your action to become invisible until the start of your next turn or until you attack or cast a spell.",0,Wonderous Item,Cloak,Uncommon,armor/robe.png,1
4,Orb of Echoing Laugher,"A crystal orb that stores laughter. As an action, you can crush it to release gales of hilarious echoes in a 30-foot radius (DC 15 Wisdom save or be incapacitated for 1 minute from uncontrollable laughter, repeating the save at end of each turn). The orb reforms after 24 hours. 3 charges, regains 1d3 at dawn.",0,Wounderous Item,,Rare,items/unstable_orb.png,9
5,Boots of the Bounding Hare,These soft leather boots allow you to jump 10 feet horizontally or vertically without a running start. Your jump distance is doubled if you have a running start.,0,Wounderous Item,Boots,Common,armor/boots.png,6
6,Ring of Minor Mending,"This plain iron ring repairs small breaks in objects. You can cast Mending at will on nonmagical objects weighing up to 10 pounds. Once per day, it can mend a magical item (but not restore charges or attunement).",0,,Ring,Common,accessories/ring.png,5
7,Staff of Thorned Vines,"Requires attunement by a druid or ranger. This gnarled wooden staff has 10 charges. Spells: Entangle (2 charges), Spike Growth (4 charges), Plant Growth (5 charges). Regains 1d6+4 charges daily at dawn. If you expend the last charge, roll a d20: on a 1, the staff withers into useless vines.",0,,Staff,Very Rare,weapons/wizard_staff.png,8
8,Amulet of the Patient Hunter,"While wearing this bone-carved amulet, you gain proficiency in Survival checks if you don't already have it. Once per long rest, when you hit with a ranged weapon attack, you can force the target to make a DC 13 Wisdom saving throw or be frightened of you until the end of your next turn.",0,Wonderous Item,Neck,Uncommon,accessories/necklace.png,3
9,Iron Longsword,Sturdy iron blade favored by militia,0,Weapon,Hand,Common,weapons/plain_dagger.png,6
10,Oak Shortbow,Simple bow carved from seasoned oak,0,Weapon,Hand,Common,accessories/necklace.png,6
11,Steel Shield,Rounded shield reinforced with steel bands,0,Armor,Hand,Uncommon,armor/robe.png,0
12,Traveler's Cloak,Warm cloak with hidden interior pockets,0,Clothing,Back,Common,items/unstable_orb.png,0
13,Healing Draught,Red herbal tonic that accelerates mending,0,Consumable,None,Common,uncertainty.png,6
14,Scroll of Ember Spark,Scroll releasing a minor flame burst,0,Consumable,None,Common,accessories/ring.png,2
15,Boots of Quick Stride,Light boots giving subtle agility,0,Clothing,Feet,Uncommon,armor/robe.png,2
16,Elven Dagger,Gracefully balanced dagger of elven craft,0,Weapon,Hand,Uncommon,accessories/necklace.png,0
17,Runed Leather Armor,Light armor etched with protective runes,0,Armor,Torso,Uncommon,armor/boots.png,5
18,Dwarven Warhammer,Heavy hammer built for crushing stone or bone,0,Weapon,Hand,Rare,weapons/wizard_staff.png,4
19,Belt of Vitality,Belt increasing stamina slightly,0,Clothing,Waist,Uncommon,uncertainty.png,8
