inv_trans_ck,inv_ck,char_ck,val
1,1,1,1
2,2,1,1
3,3,2,1
4,5,3,1
5,2,1,-1
6,8,4,2
7,1,3,1
8,10,2,1
9,4,1,3
10,6,4,1
11,1,1,1000001
12,2,1,1001
13,7,1,5
14,15,1,0
15,54,1,-5
16,36,1,5
17,18,1,-4
18,28,1,4
19,7,1,3
20,52,1,5
21,64,1,1
22,21,1,-1
23,42,1,3
24,35,1,-3
25,65,1,4
26,7,1,-1
27,14,1,5
28,65,1,-1
29,24,1,2
30,21,1,2
31,6,1,0
32,9,1,3
33,57,1,-4
34,24,1,-5
35,6,1,0
36,34,1,-3
37,52,1,-4
38,33,1,-3
39,45,1,-1
40,3,1,-5
41,64,1,-3
42,11,1,-3
43,56,1,0
44,60,1,5
45,44,1,5
46,65,1,-2
47,66,1,0
48,10,1,-2
49,27,1,-5
50,14,1,5
51,56,1,3
52,21,1,4
53,49,1,5
54,6,1,-2
55,45,1,-4
56,61,1,1
57,13,1,-5
58,35,1,4
59,44,1,5
60,53,1,5
61,46,1,-1
62,14,1,5
63,48,1,0
64,60,1,-2
65,24,1,-2
66,37,1,1
67,36,1,3
68,51,1,0
69,52,1,2
70,7,1,4
71,46,1,-2
72,11,1,5
73,42,1,-4
74,39,1,-3
75,2,1,5
76,11,1,-1
77,41,1,-2
78,50,1,-3
79,39,1,3
80,27,1,4
81,1,1,4
82,24,1,-2
83,52,1,-3
84,30,1,1
85,21,1,-3
86,36,1,-1
87,34,1,-1
88,41,1,-4
89,35,1,1
90,35,1,5
91,6,1,2
92,4,1,1
93,63,1,-2
94,64,1,-3
95,61,1,4
96,40,1,1
97,58,1,5
98,39,1,-1
99,4,1,-4
100,66,1,1
101,54,1,-1
102,25,1,5
103,37,1,3
104,17,1,2
105,54,1,-3
106,56,1,1
107,13,1,-1
108,17,1,3
109,54,1,3
110,38,1,-3
111,42,1,-3
112,32,1,1
113,28,1,4
114,52,1,4
115,6,1,1
116,5,1,2
117,49,1,3
118,54,1,0
119,22,1,1
120,53,1,1
121,27,1,5
122,43,1,4
123,42,1,3
124,18,1,-1
125,54,1,0
126,54,1,-1
127,23,1,-5
128,35,1,-3
129,60,1,3
130,20,1,4
131,56,1,-2
132,9,1,-5
133,43,1,1
134,62,1,-3
135,17,1,-2
136,11,1,5
137,63,1,1
138,52,1,3
139,6,1,2
140,41,1,5
141,41,1,-3
142,29,1,3
143,15,1,-5
144,21,1,4
145,62,1,2
146,3,1,0
147,14,1,3
148,27,1,1
149,29,1,-5
150,23,1,4
151,19,1,-5
152,23,1,2
153,37,1,-1
154,54,1,-5
155,65,1,-3
156,46,1,-3
157,36,1,5
158,42,1,-2
159,10,1,-5
160,28,1,-2
161,41,1,-3
162,1,1,-1
163,12,1,4
164,44,1,3
165,25,1,-4
166,25,1,-1
167,27,1,2
168,17,1,5
169,60,1,4
170,1,1,4
171,28,1,0
172,27,1,-5
173,50,1,5
174,33,1,-5
175,9,1,4
176,8,1,2
177,51,1,0
178,22,1,-4
179,23,1,-5
180,33,1,1
181,66,1,-2
182,3,1,-5
183,32,1,1
184,35,1,-5
185,37,1,-3
186,10,1,-4
187,40,1,0
188,31,1,-1
189,54,1,-4
190,54,1,0
191,29,1,2
192,15,1,-4
193,38,1,1
194,57,1,0
195,11,1,-1
196,46,1,2
197,40,1,4
198,48,1,5
199,42,1,-4
200,57,1,1
201,51,1,-5
202,9,1,2
203,13,1,4
204,20,1,-4
205,33,1,5
206,53,1,2
207,26,1,3
208,37,1,-2
209,28,1,-2
210,2,1,0
211,29,1,-2
212,4,1,-4
213,26,1,2
214,44,1,4
215,22,1,-1
216,7,1,0
217,30,1,3
218,6,1,3
219,42,1,-5
220,17,1,5
221,52,1,2
222,5,1,-4
223,39,1,1
224,21,1,-3
225,57,1,1
226,2,1,-5
227,45,1,3
228,34,1,-1
229,64,1,-5
230,60,1,4
231,27,1,2
232,65,1,2
233,29,1,-1
234,32,1,1
235,16,1,-5
236,25,1,-1
237,34,1,-4
238,53,1,-5
239,54,1,-4
240,57,1,-1
241,39,1,2
242,53,1,-2
243,26,1,-3
244,45,1,-3
245,27,1,2
246,65,1,-5
247,63,1,-1
248,11,1,-2
249,43,1,-1
250,41,1,-4
251,48,1,0
252,9,1,0
253,49,1,3
254,35,1,-1
255,49,1,4
256,56,1,3
257,16,1,-5
258,34,1,5
259,3,1,-3
260,38,1,5
261,31,1,5
262,17,1,-4
263,61,1,-3
264,63,1,-1
265,20,1,-2
266,50,1,0
267,29,1,2
268,22,1,-3
269,27,1,3
270,33,1,-2
271,32,1,-1
272,28,1,-3
273,38,1,5
274,53,1,3
275,11,1,5
276,4,1,-1
277,9,1,-4
278,42,1,3
279,47,1,4
280,62,1,-1
281,7,1,3
282,27,1,1
283,51,1,-5
284,66,1,3
285,23,1,3
286,8,1,0
287,21,1,-2
288,48,1,-5
289,9,1,-5
290,45,1,3
291,4,1,-2
292,50,1,0
293,17,1,1
294,5,1,5
295,32,1,-4
296,20,1,4
297,25,1,-2
298,39,1,1
299,6,1,-2
300,22,1,-2
301,63,1,4
302,14,1,-2
303,55,1,-2
304,16,1,3
